user_id,transaction_ammount,ammount_processed,amount_hold_5_days,transaction_currency,bank_transaction_number,status,date_trans,amount_hold_45_days,required_currency,exchange_rate,card_holder,card_number,comments,Return Code,transaction_fee,avs_fraud_fee,gateway_fee,bank_verification_fee,Check Number,Memo
,103.28,103.28,,USD,7351321,Completed,10-22-14 06:57 AM,0,USD,1,,,Completed,PO3,0,0,0,0,DA84C368DF67,
,76.24,76.24,,USD,7351310,Completed,10-22-14 06:57 AM,0,USD,1,,,Completed,PO1,0,0,0,0,084FDD28D0D3,
,113.83,113.83,,USD,7351300,Completed,10-22-14 06:57 AM,0,USD,1,,,Insufficient Funds,RO1,0,0,0,0,0BBF0DC367BF,
,136.38,136.38,,USD,7351200,Completed,10-22-14 06:57 AM,0,USD,1,,,Account Closed,RO2,0,0,0,0,BF8351EED745,
,93.38,93.38,,USD,7351100,Completed,10-22-14 06:57 AM,0,USD,1,,,No Account/Unable to Locate Account,RO3,0,0,0,0,348FE1EEDAAE,
,52.73,52.73,,USD,7351000,Completed,10-22-14 06:57 AM,0,USD,1,,,Invalid Account Number,RO4,0,0,0,0,E7F76FE2F5C9,
,382.8,382.8,,USD,7350900,Completed,10-22-14 06:57 AM,0,USD,1,,,Reserved,RO5,0,0,0,0,3A1E9C8753E7,
,311.64,311.64,,USD,7350800,Completed,10-22-14 06:57 AM,0,USD,1,,,Returned per ODFIÕs Request,RO6,0,0,0,0,98CE47B7696D,
,55.34,55.34,,USD,7350700,Completed,10-22-14 06:57 AM,0,USD,1,,,Completed,PO3,0,0,0,0,2B0D54813971,
,95.49,95.49,,USD,7350600,Completed,10-22-14 06:57 AM,0,USD,1,,,Completed,PO1,0,0,0,0,4E68EDB5A770,
,100.63,100.63,,USD,7350500,Completed,10-22-14 06:57 AM,0,USD,1,,,Insufficient Funds,RO1,0,0,0,0,6384A7A368E4,
,45.46,45.46,,USD,7350400,Completed,10-22-14 06:57 AM,0,USD,1,,,Account Closed,RO2,0,0,0,0,A12678E6B18B,
,179.26,179.26,,USD,7350300,Completed,10-22-14 06:57 AM,0,USD,1,,,No Account/Unable to Locate Account,RO3,0,0,0,0,D01D01215344,
,175.53,175.53,,USD,7350200,Completed,10-22-14 06:57 AM,0,USD,1,,,Invalid Account Number,RO4,0,0,0,0,3D5EF1BAED11,
,100,100,,USD,7350100,Completed,10-22-14 06:57 AM,0,USD,1,,,Reserved,RO5,0,0,0,0,D6E08F4DDB70,
,66.34,66.34,,USD,7350000,Completed,10-22-14 06:57 AM,0,USD,1,,,Returned per ODFIÕs Request,RO6,0,0,0,0,4BF17024A058,
,108.18,108.18,,USD,7349900,Completed,10-22-14 06:57 AM,0,USD,1,,,Returned per ODFIÕs Request,RO6,0,0,0,0,6E5058C54638,
,291.12,291.12,,USD,7349800,Completed,10-22-14 06:57 AM,0,USD,1,,,Completed,PO3,0,0,0,0,3AFB7401E631,
,150.91,150.91,,USD,7349700,Completed,10-22-14 06:57 AM,0,USD,1,,,Completed,PO3,0,0,0,0,B6C505821406,
,183.66,183.66,,USD,7349600,Completed,10-22-14 06:57 AM,0,USD,1,,,Completed,PO3,0,0,0,0,5EAEC8B70FB7,
